"X","id","brand","category","rating","number_of_reviews","love","price","value_price","MarketingFlags","online_only","exclusive","limited_edition","limited_time_offer","has_options","has_instructions","known_ingredients","has_size","unit","pure_num","Phenoxyethanol","Glycerin","Caprylyl.Glycol","Dimethicone","Silica","Butylene.Glycol","Limonene","Tocopherol","Water","Ethylhexylglycerin","Linalool","Fragrance","Citric.Acid","Tocopheryl.Acetate","Mica","Caprylic.Capric.Triglyceride","Peg","Potassium.Sorbate","Retinyl.Palmitate","Sodium.Hyaluronate","Citronellol","Geraniol","Xanthan.Gum","PEG","log_price"
25,1915396,"Acqua Di Parma","Scents",4,1,116,245,245,"True",1,0,0,0,1,0,0,1,"in mL",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50125821054473
26,1775055,"Acqua Di Parma","Scents",0,0,259,120,120,"True",1,0,0,0,1,0,1,1,"in mL",50,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4.78749174278205
27,2295236,"Acqua Di Parma","Scents",5,2,464,275,275,"True",1,0,0,0,0,1,1,0,"",NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5.61677109766657
28,2295194,"Acqua Di Parma","Sets",5,1,153,200,279,"True",1,0,1,0,0,1,1,0,"",NA,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5.29831736654804
29,1629369,"Acqua Di Parma","Scents",4,5,303,245,245,"True",1,0,0,0,0,0,1,1,"in mL",101,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5.50125821054473
30,1915412,"Acqua Di Parma","Scents",4,2,160,245,245,"True",1,0,0,0,1,0,1,1,"in mL",100,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,5.50125821054473
31,2295202,"Acqua Di Parma","Sets",0,0,204,113,143,"True",1,0,1,0,0,1,1,0,"",NA,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4.72738781871234
32,2295186,"Acqua Di Parma","Sets",0,0,235,200,279,"True",1,0,1,0,0,1,0,0,"",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29831736654804
33,2339703,"Acqua Di Parma","Scents",0,0,165,275,275,"True",1,0,0,0,1,1,1,1,"in mL",100,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5.61677109766657
34,2339687,"Acqua Di Parma","Scents",0,0,122,275,275,"True",1,0,0,0,1,1,1,1,"in mL",100,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,5.61677109766657
35,1794585,"AERIN","Scents",4,91,8000,130,130,"True",1,0,0,0,1,1,1,1,"in mL",50,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,4.86753445045558
36,1639228,"AERIN","Scents",4.5,77,5600,130,130,"True",1,0,0,0,1,0,1,1,"in mL",50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.86753445045558
37,1699222,"AERIN","Scents",5,12,1700,235,235,"True",1,0,0,0,1,0,0,1,"in mL",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45958551414416
38,1639236,"AERIN","Scents",4.5,63,3800,130,130,"True",1,0,0,0,1,0,1,1,"in mL",50,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.86753445045558
39,2317907,"AERIN","Misc",0,0,108,30,30,"True",1,0,0,0,1,1,1,1,"in mL",8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.40119738166216
40,2317907,"AERIN","Misc",0,0,108,30,30,"True",1,0,0,0,1,1,1,1,"in mL",8,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.40119738166216
